imw,imh,radius,xc,yc
1024,768,43,28,27
1024,768,43,79,27
1024,768,43,130,27
1024,768,43,181,27
1024,768,43,232,27
1024,768,43,283,27
1024,768,43,334,27
1024,768,43,385,27
1024,768,43,436,27
1024,768,43,487,27
1024,768,43,538,27
1024,768,43,589,27
1024,768,43,640,27
1024,768,43,691,27
1024,768,43,742,27
1024,768,43,793,27
1024,768,43,844,27
1024,768,43,895,27
1024,768,43,946,27
1024,768,43,997,27
1024,768,43,28,78
1024,768,43,79,78
1024,768,43,130,78
1024,768,43,181,78
1024,768,43,232,78
1024,768,43,283,78
1024,768,43,334,78
1024,768,43,385,78
1024,768,43,436,78
1024,768,43,487,78
1024,768,43,538,78
1024,768,43,589,78
1024,768,43,640,78
1024,768,43,691,78
1024,768,43,742,78
1024,768,43,793,78
1024,768,43,844,78
1024,768,43,895,78
1024,768,43,946,78
1024,768,43,997,78
1024,768,43,28,129
1024,768,43,79,129
1024,768,43,130,129
1024,768,43,181,129
1024,768,43,232,129
1024,768,43,283,129
1024,768,43,334,129
1024,768,43,385,129
1024,768,43,436,129
1024,768,43,487,129
1024,768,43,538,129
1024,768,43,589,129
1024,768,43,640,129
1024,768,43,691,129
1024,768,43,742,129
1024,768,43,793,129
1024,768,43,844,129
1024,768,43,895,129
1024,768,43,946,129
1024,768,43,997,129
1024,768,43,28,180
1024,768,43,79,180
1024,768,43,130,180
1024,768,43,181,180
1024,768,43,232,180
1024,768,43,283,180
1024,768,43,334,180
1024,768,43,385,180
1024,768,43,436,180
1024,768,43,487,180
1024,768,43,538,180
1024,768,43,589,180
1024,768,43,640,180
1024,768,43,691,180
1024,768,43,742,180
1024,768,43,793,180
1024,768,43,844,180
1024,768,43,895,180
1024,768,43,946,180
1024,768,43,997,180
1024,768,43,28,231
1024,768,43,79,231
1024,768,43,130,231
1024,768,43,181,231
1024,768,43,232,231
1024,768,43,283,231
1024,768,43,334,231
1024,768,43,385,231
1024,768,43,436,231
1024,768,43,487,231
1024,768,43,538,231
1024,768,43,589,231
1024,768,43,640,231
1024,768,43,691,231
1024,768,43,742,231
1024,768,43,793,231
1024,768,43,844,231
1024,768,43,895,231
1024,768,43,946,231
1024,768,43,997,231
1024,768,43,28,282
1024,768,43,79,282
1024,768,43,130,282
1024,768,43,181,282
1024,768,43,232,282
1024,768,43,283,282
1024,768,43,334,282
1024,768,43,385,282
1024,768,43,436,282
1024,768,43,487,282
1024,768,43,538,282
1024,768,43,589,282
1024,768,43,640,282
1024,768,43,691,282
1024,768,43,742,282
1024,768,43,793,282
1024,768,43,844,282
1024,768,43,895,282
1024,768,43,946,282
1024,768,43,997,282
1024,768,43,28,333
1024,768,43,79,333
1024,768,43,130,333
1024,768,43,181,333
1024,768,43,232,333
1024,768,43,283,333
1024,768,43,334,333
1024,768,43,385,333
1024,768,43,436,333
1024,768,43,487,333
1024,768,43,538,333
1024,768,43,589,333
1024,768,43,640,333
1024,768,43,691,333
1024,768,43,742,333
1024,768,43,793,333
1024,768,43,844,333
1024,768,43,895,333
1024,768,43,946,333
1024,768,43,997,333
1024,768,43,28,384
1024,768,43,79,384
1024,768,43,130,384
1024,768,43,181,384
1024,768,43,232,384
1024,768,43,283,384
1024,768,43,334,384
1024,768,43,385,384
1024,768,43,436,384
1024,768,43,487,384
1024,768,43,538,384
1024,768,43,589,384
1024,768,43,640,384
1024,768,43,691,384
1024,768,43,742,384
1024,768,43,793,384
1024,768,43,844,384
1024,768,43,895,384
1024,768,43,946,384
1024,768,43,997,384
1024,768,43,28,435
1024,768,43,79,435
1024,768,43,130,435
1024,768,43,181,435
1024,768,43,232,435
1024,768,43,283,435
1024,768,43,334,435
1024,768,43,385,435
1024,768,43,436,435
1024,768,43,487,435
1024,768,43,538,435
1024,768,43,589,435
1024,768,43,640,435
1024,768,43,691,435
1024,768,43,742,435
1024,768,43,793,435
1024,768,43,844,435
1024,768,43,895,435
1024,768,43,946,435
1024,768,43,997,435
1024,768,43,28,486
1024,768,43,79,486
1024,768,43,130,486
1024,768,43,181,486
1024,768,43,232,486
1024,768,43,283,486
1024,768,43,334,486
1024,768,43,385,486
1024,768,43,436,486
1024,768,43,487,486
1024,768,43,538,486
1024,768,43,589,486
1024,768,43,640,486
1024,768,43,691,486
1024,768,43,742,486
1024,768,43,793,486
1024,768,43,844,486
1024,768,43,895,486
1024,768,43,946,486
1024,768,43,997,486
1024,768,43,28,537
1024,768,43,79,537
1024,768,43,130,537
1024,768,43,181,537
1024,768,43,232,537
1024,768,43,283,537
1024,768,43,334,537
1024,768,43,385,537
1024,768,43,436,537
1024,768,43,487,537
1024,768,43,538,537
1024,768,43,589,537
1024,768,43,640,537
1024,768,43,691,537
1024,768,43,742,537
1024,768,43,793,537
1024,768,43,844,537
1024,768,43,895,537
1024,768,43,946,537
1024,768,43,997,537
1024,768,43,28,588
1024,768,43,79,588
1024,768,43,130,588
1024,768,43,181,588
1024,768,43,232,588
1024,768,43,283,588
1024,768,43,334,588
1024,768,43,385,588
1024,768,43,436,588
1024,768,43,487,588
1024,768,43,538,588
1024,768,43,589,588
1024,768,43,640,588
1024,768,43,691,588
1024,768,43,742,588
1024,768,43,793,588
1024,768,43,844,588
1024,768,43,895,588
1024,768,43,946,588
1024,768,43,997,588
1024,768,43,28,639
1024,768,43,79,639
1024,768,43,130,639
1024,768,43,181,639
1024,768,43,232,639
1024,768,43,283,639
1024,768,43,334,639
1024,768,43,385,639
1024,768,43,436,639
1024,768,43,487,639
1024,768,43,538,639
1024,768,43,589,639
1024,768,43,640,639
1024,768,43,691,639
1024,768,43,742,639
1024,768,43,793,639
1024,768,43,844,639
1024,768,43,895,639
1024,768,43,946,639
1024,768,43,997,639
1024,768,43,28,690
1024,768,43,79,690
1024,768,43,130,690
1024,768,43,181,690
1024,768,43,232,690
1024,768,43,283,690
1024,768,43,334,690
1024,768,43,385,690
1024,768,43,436,690
1024,768,43,487,690
1024,768,43,538,690
1024,768,43,589,690
1024,768,43,640,690
1024,768,43,691,690
1024,768,43,742,690
1024,768,43,793,690
1024,768,43,844,690
1024,768,43,895,690
1024,768,43,946,690
1024,768,43,997,690
1024,768,43,28,741
1024,768,43,79,741
1024,768,43,130,741
1024,768,43,181,741
1024,768,43,232,741
1024,768,43,283,741
1024,768,43,334,741
1024,768,43,385,741
1024,768,43,436,741
1024,768,43,487,741
1024,768,43,538,741
1024,768,43,589,741
1024,768,43,640,741
1024,768,43,691,741
1024,768,43,742,741
1024,768,43,793,741
1024,768,43,844,741
1024,768,43,895,741
1024,768,43,946,741
1024,768,43,997,741
1024,768,102,45,44
1024,768,102,130,44
1024,768,102,215,44
1024,768,102,300,44
1024,768,102,385,44
1024,768,102,470,44
1024,768,102,555,44
1024,768,102,640,44
1024,768,102,725,44
1024,768,102,810,44
1024,768,102,895,44
1024,768,102,980,44
1024,768,102,45,129
1024,768,102,130,129
1024,768,102,215,129
1024,768,102,300,129
1024,768,102,385,129
1024,768,102,470,129
1024,768,102,555,129
1024,768,102,640,129
1024,768,102,725,129
1024,768,102,810,129
1024,768,102,895,129
1024,768,102,980,129
1024,768,102,45,214
1024,768,102,130,214
1024,768,102,215,214
1024,768,102,300,214
1024,768,102,385,214
1024,768,102,470,214
1024,768,102,555,214
1024,768,102,640,214
1024,768,102,725,214
1024,768,102,810,214
1024,768,102,895,214
1024,768,102,980,214
1024,768,102,45,299
1024,768,102,130,299
1024,768,102,215,299
1024,768,102,300,299
1024,768,102,385,299
1024,768,102,470,299
1024,768,102,555,299
1024,768,102,640,299
1024,768,102,725,299
1024,768,102,810,299
1024,768,102,895,299
1024,768,102,980,299
1024,768,102,45,384
1024,768,102,130,384
1024,768,102,215,384
1024,768,102,300,384
1024,768,102,385,384
1024,768,102,470,384
1024,768,102,555,384
1024,768,102,640,384
1024,768,102,725,384
1024,768,102,810,384
1024,768,102,895,384
1024,768,102,980,384
1024,768,102,45,469
1024,768,102,130,469
1024,768,102,215,469
1024,768,102,300,469
1024,768,102,385,469
1024,768,102,470,469
1024,768,102,555,469
1024,768,102,640,469
1024,768,102,725,469
1024,768,102,810,469
1024,768,102,895,469
1024,768,102,980,469
1024,768,102,45,554
1024,768,102,130,554
1024,768,102,215,554
1024,768,102,300,554
1024,768,102,385,554
1024,768,102,470,554
1024,768,102,555,554
1024,768,102,640,554
1024,768,102,725,554
1024,768,102,810,554
1024,768,102,895,554
1024,768,102,980,554
1024,768,102,45,639
1024,768,102,130,639
1024,768,102,215,639
1024,768,102,300,639
1024,768,102,385,639
1024,768,102,470,639
1024,768,102,555,639
1024,768,102,640,639
1024,768,102,725,639
1024,768,102,810,639
1024,768,102,895,639
1024,768,102,980,639
1024,768,102,45,724
1024,768,102,130,724
1024,768,102,215,724
1024,768,102,300,724
1024,768,102,385,724
1024,768,102,470,724
1024,768,102,555,724
1024,768,102,640,724
1024,768,102,725,724
1024,768,102,810,724
1024,768,102,895,724
1024,768,102,980,724
