imw,imh,radius,xc,yc
688,524,53,25,1
688,524,53,83,1
688,524,53,141,1
688,524,53,199,1
688,524,53,257,1
688,524,53,315,1
688,524,53,373,1
688,524,53,431,1
688,524,53,489,1
688,524,53,547,1
688,524,53,605,1
688,524,53,663,1
688,524,53,25,59
688,524,53,83,59
688,524,53,141,59
688,524,53,199,59
688,524,53,257,59
688,524,53,315,59
688,524,53,373,59
688,524,53,431,59
688,524,53,489,59
688,524,53,547,59
688,524,53,605,59
688,524,53,663,59
688,524,53,25,117
688,524,53,83,117
688,524,53,141,117
688,524,53,199,117
688,524,53,257,117
688,524,53,315,117
688,524,53,373,117
688,524,53,431,117
688,524,53,489,117
688,524,53,547,117
688,524,53,605,117
688,524,53,663,117
688,524,53,25,175
688,524,53,83,175
688,524,53,141,175
688,524,53,199,175
688,524,53,257,175
688,524,53,315,175
688,524,53,373,175
688,524,53,431,175
688,524,53,489,175
688,524,53,547,175
688,524,53,605,175
688,524,53,663,175
688,524,53,25,233
688,524,53,83,233
688,524,53,141,233
688,524,53,199,233
688,524,53,257,233
688,524,53,315,233
688,524,53,373,233
688,524,53,431,233
688,524,53,489,233
688,524,53,547,233
688,524,53,605,233
688,524,53,663,233
688,524,53,25,291
688,524,53,83,291
688,524,53,141,291
688,524,53,199,291
688,524,53,257,291
688,524,53,315,291
688,524,53,373,291
688,524,53,431,291
688,524,53,489,291
688,524,53,547,291
688,524,53,605,291
688,524,53,663,291
688,524,53,25,349
688,524,53,83,349
688,524,53,141,349
688,524,53,199,349
688,524,53,257,349
688,524,53,315,349
688,524,53,373,349
688,524,53,431,349
688,524,53,489,349
688,524,53,547,349
688,524,53,605,349
688,524,53,663,349
688,524,53,25,407
688,524,53,83,407
688,524,53,141,407
688,524,53,199,407
688,524,53,257,407
688,524,53,315,407
688,524,53,373,407
688,524,53,431,407
688,524,53,489,407
688,524,53,547,407
688,524,53,605,407
688,524,53,663,407
688,524,53,25,465
688,524,53,83,465
688,524,53,141,465
688,524,53,199,465
688,524,53,257,465
688,524,53,315,465
688,524,53,373,465
688,524,53,431,465
688,524,53,489,465
688,524,53,547,465
688,524,53,605,465
688,524,53,663,465
688,524,53,25,523
688,524,53,83,523
688,524,53,141,523
688,524,53,199,523
688,524,53,257,523
688,524,53,315,523
688,524,53,373,523
688,524,53,431,523
688,524,53,489,523
688,524,53,547,523
688,524,53,605,523
688,524,53,663,523
688,524,123,5,20
688,524,123,102,20
688,524,123,199,20
688,524,123,296,20
688,524,123,393,20
688,524,123,490,20
688,524,123,587,20
688,524,123,684,20
688,524,123,5,117
688,524,123,102,117
688,524,123,199,117
688,524,123,296,117
688,524,123,393,117
688,524,123,490,117
688,524,123,587,117
688,524,123,684,117
688,524,123,5,214
688,524,123,102,214
688,524,123,199,214
688,524,123,296,214
688,524,123,393,214
688,524,123,490,214
688,524,123,587,214
688,524,123,684,214
688,524,123,5,311
688,524,123,102,311
688,524,123,199,311
688,524,123,296,311
688,524,123,393,311
688,524,123,490,311
688,524,123,587,311
688,524,123,684,311
688,524,123,5,408
688,524,123,102,408
688,524,123,199,408
688,524,123,296,408
688,524,123,393,408
688,524,123,490,408
688,524,123,587,408
688,524,123,684,408
688,524,123,5,505
688,524,123,102,505
688,524,123,199,505
688,524,123,296,505
688,524,123,393,505
688,524,123,490,505
688,524,123,587,505
688,524,123,684,505
